Test_Trip_ID	Predicted_JourneyPatternID
0	077A1001
1	065B0001
2	065B0001
3	065B0001
4	065B0001
5	065B0001
6	065B0001
7	065B0001
8	065B0001
9	065B0001
10	065B0001
11	065B0001
12	065B0001
13	065B0001
14	065B0001
15	015A0001
16	015A0001
17	015A0001
18	015A0001
19	015A0001
20	015A0001
21	015A0001
22	015A0001
23	015A0001
24	015A0001
25	015A0001
26	015A0001
27	015A0001
28	015A0001
29	015A0001
30	015A0001
31	015A0001
32	015A0001
33	015A0001
34	015A0001
35	015A0001
36	015A0001
37	015A0001
38	015A0001
39	027B0001
40	015A0001
41	015A0001
42	015A0001
43	015A0001
44	015A0001
45	015A0001
46	015A0001
47	015A0001
48	00420001
49	00420001
50	00420001
51	00420001
52	00420001
53	00420001
54	00320001
55	00420001
56	00420001
57	00420001
58	00420001
59	00420001
60	00420001
61	00420001
62	00420001
63	00420001
64	00420001
65	00420001
66	00420001
67	00420001
68	00420001
69	00420001
70	00420001
71	00420001
72	00420001
73	00261001
74	00261001
75	00261001
76	00261001
77	00261001
78	00261001
79	00261001
80	00261001
81	00261001
82	033A0002
83	00140001
84	00140001
85	00140001
86	00140001
87	00140001
88	00140001
89	00140001
90	00140001
91	00140001
92	00140001
93	00140001
94	00140001
95	00140001
96	00140001
97	00140001
98	00140001
99	00140001
100	00140001
101	00140001
102	00140001
103	00140001
104	00140001
105	00140001
106	00140001
107	00140001
108	00110001
109	00140001
110	00141001
111	00140001
112	00140001
113	00140001
114	00140001
115	00140001
116	00140001
117	00141003
118	00140001
119	00140001
120	00140001
121	00140001
122	00140001
123	02391001
124	02391001
125	02391001
126	02391001
127	02391001
128	02391001
129	00081001
130	00081001
131	00081001
132	00081001
133	00081001
134	01020001
135	01020001
136	01020001
137	01020001
138	01020001
139	01020001
140	01020001
141	01020001
142	01020001
143	01020001
144	01020001
145	01020001
146	01020001
147	01020001
148	01020001
149	01020001
150	01020001
151	01020001
152	01020001
153	01020001
154	01020001
155	01020001
156	00330002
157	00330002
158	00330002
159	00330002
160	00330002
161	00330002
162	00330001
163	00330001
164	00330001
165	00330001
166	066B0001
167	066B0001
168	00411001
169	00411001
170	00411001
171	00411001
172	00411001
173	00411001
174	00411001
175	00411001
176	00411001
177	00411001
178	00411001
179	00411001
180	00411001
181	00411001
182	00411001
183	00411001
184	027B0001
185	00411001
186	00411001
187	00411001
188	00411001
189	00411001
190	00411001
191	00411001
192	00411001
193	00411001
194	00170001
195	00170001
196	00170001
197	00170001
198	00170001
199	00170001
200	00170001
201	00170001
202	00170001
203	00170001
204	00170001
205	01451001
206	01451001
207	01451001
208	01451001
209	01451001
210	01451001
211	01451001
212	01451001
213	01451001
214	01451001
215	01451001
216	01451001
217	01451001
218	01451001
219	01451001
220	01451001
221	01451001
222	01451001
223	01451001
224	01451001
225	01451001
226	01451001
227	045A0001
228	01451001
229	01451001
230	01451001
231	01451001
232	01451001
233	01451001
234	01451001
235	01451001
236	01451001
237	01451001
238	01451001
239	01451001
240	01450001
241	01451001
242	01451001
243	01451001
244	01451001
245	01451001
246	01451001
247	01451001
248	01451001
249	01451001
250	01451001
251	01451001
252	01451001
253	01451001
254	01451001
255	01451001
256	01451001
257	01451001
258	01451001
259	01451001
260	01451001
261	01451001
262	01451001
263	01451001
264	01451001
265	01451001
266	01451001
267	056A1001
268	056A1001
269	056A1001
270	056A1001
271	00491001
272	056A1001
273	00271003
274	056A1001
275	027B1001
276	027B1001
277	027B1001
278	027B1001
279	027B1001
280	027B1001
281	027B1001
282	027B1001
283	027B1001
284	027B1001
285	027B1001
286	027B1001
287	027B1001
288	027B1001
289	027B1001
290	027B0001
291	027B1001
292	00830001
293	027B1001
294	027B1001
295	027B1001
296	027B1001
297	027B1001
298	01501001
299	01501001
300	01501001
301	01501001
